Anime,Director
Pokemon: The Mastermind of Mirage Pokemon, Masamitsu Hidaka
Super Seisyun Brothers, Masahiro Takata
Zettai Shounen, Tomomi Mochizuki
Alexander's Decision, Tomoharu Katsumata
Watakushiritori,Kazuhiko Okushita
Tadaima! Chibi Godzilla 2nd Season, Tommy Hino
Al Caral no Isan, Koichi Ishiguro
Night Head Genesis, Yoshio Takeuchi
Battle Girls: Time Paradox, Hideki Okamoto
Tondemo Senshi Muteking, Seitaro Hara
Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,Hideaki Anno
Aimer: Nemuri no Mori,Gaku Kinoshita
Hashiri Tsuzukete Yokattatte., Masatsugu Arakawa
Etotama, Fumitoshi Oizaki
Blue Sonnet, Takeyuki Kanda
Yumi Matsutoya: Flying Messenger,Takashi Ohashi
Pretty Cure, Daisuke Nishio
Saint Seiya: Legend of Sanctuary, Keiichi Satou
My Girlfriend is Shobitch, Nobuyoshi Nagayama
Ai no Senshi Rainbowman,Nobuhiro Okaseko
Dropkick on My Devil!, Hikaru Satou
Girls' Frontline, Shigeru Ueda
Franz Kafka's A Country Doctor, Koji Yamamura
Run Melos! (1981), Tomoharu Katsumata
The [email protected]: Cinderella Girls - Spin-off!, Naoki Yoshibe
iMarine Project: DEEP BLUE SONG MMD, Wakamurap
Sakigake!! Otokojuku Movie, Nobutaka Nishizawa
Battle Athletes, Kazuhiro Ozawa
Enyogu,Yoriko Mizushiri
ketchup mania: Please! Marry Me!!,Mitsuyuki Ishibashi
Comic Party, Norihiko Sutou
Harukanaru Toki no Naka de ~Ajisai Yumegatari~, Iku Suzuki
Zutomayo: Kettobashita Moufu,Kawasemi
Amanatsu, Toshihisa Yokoshima
Nisekoimonogatari, Akiyuki Simbo
Tsuyokiss: Cool x Sweet, Shinichirou Kimura
Rail Wars!, Yoshifumi Sueda
Chiisana Jumbo, Toshio Hirata
Chiisana Jumbo, Masami Hata
Chiisana Jumbo, Takashi Yanase
Tarzan,Taku Furukawa
Nabowa: Casablanca,Kakeru Mizui
Dragon Ball Z Movie 11: Bio-Broly, Yoshihiro Ueda
Little El Cid no Bouken, Fumio Kurokawa
Magia Record Arc 2 OP,Seiya Numata
Tantei Opera Milky Holmes, Makoto Moriwaki
Re:Petit Kara Hajimeru Isekai Seikatsu, Minoru Ashina
Ah My Buddha!!, Keitarou Motonaga
Diamond Daydreams, Bob Shirohata
Aimer: Omoide wa Kireide,Gaku Kinoshita
The Lost Breakfast,Q-Rais
Yoshimune, Hiroaki Sato
"Yamibo: Darkness, The Hat and the Travelers of the Books", Yuuji Yamaguchi
Rockman: Hoshi ni Negai wo, Katsumi Minoguchi
Heroman Specials, Hitoshi Nanba
Tsukigakirei: First Half - The Road So Far, Seiji Kishi
Sonic Soldier Borgman: Lover's Rain, Yasushi Murayama
Anemone, Junichi Yamamoto
Fight Ippatsu! Juuden-Chan!! Specials, Shinichirou Kimura
Akindo Sei Little Peso, Ryousuke Aoike
Fatal Fury: Legend of the Hungry Wolf, Hiroshi Fukutomi
Jubei-chan: The Ninja Girl, Akitarou Daichi
Hana no Hanashi,Taku Furukawa
Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi, Yukio Kaizawa
Mahou no Yousei Persia, Takashi Annou
Jakusansei Million Arthur, Mankyuu
Fastening Days 4, Shingo Yamashita
Kemeko Deluxe!, Tsutomu Mizushima
Go! Samurai,Keiichiro Kimura
Miss Monochrome 2, Yoshiaki Iwasaki
Fate/strange Fake PV, Takahito Sakazume
Monster Strike: An Encore and Continuance - Pandora's Box, Kazuya Ichikawa
Ikedaya Soudou,Ryouhei Yanagihara
Space Oz no Bouken, Souji Yoshikawa
Green Co-Op CMs,Yoshiharu Satou
Toki wa Meguru: Tokyo Station, Naomichi Yamato
Meg & Patron: Pari Pari Pa-ri,Takashi Ohashi
Blossom, Yutaka Yamamoto
iMarine Project: Marine Dreamin' MMD (2017), Wakamurap
Magatsu Wahrheit, Naoto Hosoda
Assassins Pride, Kazuya Aiura
Rokushin Gattai God Mars Juunanasai no Densetsu, Masakatsu Iijima
Ibarahime Mata wa Nemurihime, Kihachiro Kawamoto
THE CHARM PARK: Timeless,Kousuke Sugimoto
Ultraman Kids: Haha wo Tazunete 3000-man Kounen, Mitsuo Kusakabe
Fumiko no Kokuhaku, Hiroyasu Ishida
Handsome Kenya: Random,Kousuke Sugimoto
Baby Felix, Kunitoshi Okajima
Osampo,Taku Furukawa
Ookina Furudokei (1973),Yoshiyuki Takeguchi
Super Dimensional Fortress Macross II: Lovers Again, Kenichi Yatagai
Hachioji-P: Sweet Devil, Wakamurap
Arashi no Yoru ni: Himitsu no Tomodachi, Tetsurou Amino
Aimer: Kachou Fuugetsu,Atsushi Makino
R-15, Munenori Nawa
The Life of Budori Gusko (1994),Ryuutarou Nakamura
Hikaru Utada: Fluximation,Hiroyuki Kitakubo
BanG Dream! Pastel Life, Tommy Hino
Yobarete Tobidete Akubi-chan, Tomihiko Ohkubo
Yobarete Tobidete Akubi-chan, Hiroshi Sasagawa
Kaiketsu Zorori (1993), Yoshio Takeuchi
Mr. Cloud and Mr. Rain,Tomoyoshi Joko
"Open Play, Forgetting Eye",Alimo
Tetsuko no Tabi, Akinori Nagaoka
Guomin Laogong Dai Huijia, Xiong Ke
Koi☆Sento, Shuuhei Morita
To Heart, Naohito Takahashi
Minna no Uta: Piano,Taku Furukawa
Kizuna: Much Ado About Nothing, Kazuo Yamazaki
Stone,Nobuhiro Aihara
Sora e,Kazuhiro Hocchi
Osamishi Tani no Wakare Uta,Tadanari Okamoto
SPRiNGS: Junjou -SAKURA-, Nobuaki Nakanishi
SPRiNGS: Junjou -SAKURA-, Chisato Kikunaga
Slide,Tekken
Chou Tokkyuu Hikarian, Yoshikata Nitta
Chou Tokkyuu Hikarian, Kazunori Hirokawa
Natsu to Suisei: 27th,Ryoji Yamada
Pocari Sweat Run Carnival 2019,Yuutarou Kubo
Onaka-hime, Ykbx
Moomin (1972), Rintarou
Wooser no Sono Higurashi 3, Seiji Mizushima
Dondon Domeru to Ron, Hidehito Ueda
Dondon Domeru to Ron, Hiroshi Sasagawa
Dondon Domeru to Ron, Junichi Sakata
Dondon Domeru to Ron, Keiichiro Mochizuki
Dondon Domeru to Ron, Yukio Okazaki
PapA,Kumi Matsui
SHAREDOL Pilot, Yoshihiro Kanno
Animentary Ketsudan,Ippei Kuri
Gall Force 2: Destruction, Katsuhito Akiyama
Chichibu de Buchichi, Shizutaka Sugahara
FAKE TYPE: Yummy Yummy Yummy, Demondice
Watashi to Piano,Seiichi Hayashi
Odoriko Clinoppe, Shin Katagai
UFO Robo Grendizer vs Great Mazinger, Osamu Kasai
B-Daman Crossfire, Yoshinori Odaka
Phoenix 2772, Suguru Sugiyama
Washimo 4, Toshifumi Kawase
Adventure on the Gaboten Island, Haruyuki Kawajima
Mooretsu Atarou, Isao Takahata
Beyblade: Metal Fusion, Kunihisa Sugishima
B-Daman Fireblast, Yoshinori Odaka
Dino Girl Gauko, Akira Shigino
La Storia Della Arcana Famiglia, Chiaki Kon
amazarashi: Anta e,Kenji Kawasaki
Coppelion, Hiromitsu Kanazawa
Coppelion, Susumu Kudou
SD Gundam World Heroes, Takahiro Ikezoe
The Prince and the White Horse, Tomoharu Katsumata
Judo Boy, Ippei Kuri
Haru Natsu,Kouji Nanke
Kabukibu!, Kazuhiro Yoneda
Genesis Survivor Gaiarth, Masayuki Ooseki
Gasshin Sentai Mechander Robo, Yoshikata Nitta
Duel Masters Versus Revolution Final, Shinobu Sasaki
Ai no Gakkou Cuore Monogatari, Eiji Okabe
Akai Yama Aoi Yama Shiroi Yama,Seiichi Hayashi
Kurogane Communication, Yasuhito Kikuchi
Kurogane Communication, Kenji Kikuchi
Southern All Stars: Tatakau Mono-tachi e Ai wo Komete,Sou Ootsuki
Magical Girl Pretty Sammy, Yasuhito Kikuchi
Magical Girl Pretty Sammy, Kazunori Hirokawa
Magical Girl Pretty Sammy, Takeshi Aoki
New Dream Hunter Rem: Yume no Kishitachi, Seiji Okuda
Inferno Cop, Akira Amemiya
The Breakaways: Girl Electric,Rapparu
Avengers Confidential: Black Widow & Punisher, Kenichi Shimizu
Yotsuya Alpha Beta,Nana Anzai
Pandora to Akubi, Jun Soga
Eureka Seven AO: The Flowers of Jungfrau, Tomoki Kyoda
Eureka Seven AO: The Flowers of Jungfrau, Hiroko Kazui
Love Get Chu: Miracle Seiyuu Hakusho, Mitsuhiro Tougou
Zoids: Fuzors, Kouji Makita
Marvel Future Avengers 2nd Season, Yuuzou Satou
Tobe! Kujira no Peek,Kouji Morimoto
Yona Yona Penguin, Rintarou
In Search of the Lost Future, Naoto Hosoda
Wacky TV Na Na Na: Chase the Kraken Monster!, Satoshi Fumihara
Godzilla Movie 3: The Planet Eater, Koubun Shizuno
Godzilla Movie 3: The Planet Eater, Hiroyuki Seshita
Murphy's Irish Stout: Last Orders,Hiroyuki Kitakubo
Hatena: Koe dake ga,Yoshihito Kato
Omishi Magical Theater: Risky Safety, Kouji Masunari
Escha Chron, Seiji Mizushima
Hamtaro Movie 1: Ham Ham Land no Daibouken, Osamu Dezaki
Gall Force 5: Earth Chapter, Katsuhito Akiyama
Neko Hiki no Ororane, Mizuho Nishikubo
Tomoyo Harada & Keiichi Suzuki: Amefuri Kuma no Ko,Koji Yamamura
Panyo Panyo Di Gi Charat, Shigehito Takayanagi
Boku wa Robot-goshi no Kimi ni Koi wo Suru PV, Shin Wakabayashi
Time Bokan Series: Time Patrol Tai Otasukeman, Hiroshi Sasagawa
Little Nemo: Adventures in Slumberland Pilot (1987), Osamu Dezaki
Flying Lotus: More,Shinichirou Watanabe
Yoshigayo Isoge,Hiroshi Nishimura
Wonder Beat Scramble, Satoshi Dezaki
Potecco Babies, Yosuke Suzuki
Potecco Babies, Shinichi Kuniyasu
Jie Mo Ren, Zhong Jing Li
Jie Mo Ren, Hu Sen Liao
Jie Mo Ren, Han Wang
Gun Frontier, Souichirou Zen
Geobreeders 2, Kiyoshi Fukumoto
Geobreeders 2, Shin Misawa
Oyayubi Hime Monogatari, Hiromitsu Morita
Gonna be the Twin-Tail!!, Hiroyuki Kanbe
Hachioji-P: Little Scarlet Bad Girl, Wakamurap
Neko no Dayan: Fushigi Gekijou, Hazumu Sakuta
Denshin Mamotte Shugogetten!, Yukio Kaizawa
Legend of the Galactic Heroes: Golden Wings, Keizou Shimizu
Scape Escape,Yukie Nakauchi
Lord Marksman and Vanadis: Tigre and Vanadish, Minoru Ashina
Guru Guru Petit Anime Gekijou, Minoru Ashina
Trava: Fist Planet, Takeshi Koike
Gambo, Hiroaki Andou
Tattoon Master, Kazunori Hirokawa
Interlude, Tatsuya Nagamine
Interlude, Masahiro Hosoda
Rose O'Neill Kewpie, Masatsugu Arakawa
Keina Suda: Setsuna no Uzu,Avogado6
LINE Novel CM,Loundraw
LINE Novel CM, Shingo Fujii
Honoo no Tenkousei, Katsuhiko Nishijima
Mazica Party, Shinji Ushiro
Mini Hama, Masaomi Andou
Thundercats Snarf: Butterfly Blues, Takuo Tominaga
Winter Sonata: Episode 0, Yoon Suk-Ho
Morita-san wa Mukuchi TV, Naotaka Hayashi
Blue Dragon: Trials of the Seven Shadows, Yukihiro Matsushita
"We, Without Wings - Under the Innocent Sky", Shinji Ushiro
Astro Boy (2003), Kazuya Konaka
Haunted Junction, Yuuji Mutou
Washimo 2, Toshifumi Kawase
Washimo 3, Toshifumi Kawase
"Ima, Futari no Michi", Susumu Nishizawa
The Nighthawk Star,Ryu Kato
Pokemon Ranger: Guardian Signs, Norihiko Sutou
Pokemon Ranger: Guardian Signs, Kunihiko Yuyama
Noriyuki Makihara: Riyuu,Ryu Kato
Galaxy Fraulein Yuna Returns, Akiyuki Simbo
Superflat Monogram, Mamoru Hosoda
Superflat Monogram, Takashi Murakami
Lord of Lords Ryu Knight: Adeu's Legend II, Masashi Ikeda
Hakimono to Kasa no Monogatari,Kouji Nanke
Illion: Miracle,Shunji Iwai
Working Buddies! No 2!, Tomoya Takashima
Futari Zamurai Homare no Kawakiri,Ryouhei Yanagihara
Dragon Age: Dawn of the Seeker, Fumihiko Sori
RoboMasters The Animated Series, Yasutaka Yamamoto
All Purpose Cultural Cat Girl Nuku Nuku TV, Yoshitaka Fujimoto
Ninku, Noriyuki Abe
DNA Sights 999.9, Masayuki Kojima
Gall Force 1: Eternal Story, Katsuhito Akiyama
MTV ULTRAHITS: Execute ID,Naoya Hirata
Flowers,Toyomi Morishita
Yuuyake Shiwasu: Yume wo Misete,Kousuke Sugimoto
Bring me up,Miki Tanaka
"Wake Up, Girls! New Chapter", Shin Itagaki
Fake, Iku Suzuki
Amon: Apocalypse of Devilman, Kenichi Takeshita
Super Deformed Double Feature, Hiroyuki Fukushima
Super Deformed Double Feature, Katsuhito Akiyama
Jewelpet Sunshine, Takayuki Inagaki
A Hundred Percents, Yoshihisa Matsumoto
PoPo Loouise,Osamu Sakai
Bakkyuu HIT! Crash B-Daman, Yoshiaki Okumura
Isekai Quartet Relay PV, Minoru Ashina
Usogui, Kazuo Tomizawa
A Wind Named Amnesia, Kazuo Yamazaki
Blessing of the Campanella: La Campanella Della Benedizione, Shinji Ushiro
God Eater Rezo Nantoka Gekijou: Episode EX, Parako Shinohara
TO, Fumihiko Sori
Hachioji-P: Carry Me Off, Wakamurap
Kimi no Iru Basho, Loundraw
Hana no Asukagumi! 2: Lonely Cats Battle Royale, Atsutoshi Umezawa
Pinocchio-P: Antenna,Yuma Saito
Green Green, Yuuji Mutou
Street Fighter IV: The Ties That Bind, Jiro Kanai
Soriton no Akuma, Yoshio Takeuchi
Oretacha Youkai Ningen, Yuzuru Adachi
Hoka Hoka Kazoku,Toshitaka Tsunoda
Rakugo Tennyo Oyui, Yoshihiro Takamoto
Chiisana Itsutsu no Ohanashi,Tadanari Okamoto
Akari Nanawo: Gyakusou Shoujo,Karameru
Gall Force 3: Stardust War, Katsuhito Akiyama
Buta, Kazuhide Tomonaga
Buta, Tomonaga Kazuhide
Sonic: Night of the WereHog, Takashi Nakashima
Amazing Nuts!, Daisuke Nakayama
Amazing Nuts!, Yasuhiro Aoki
Amazing Nuts!, Takashi Yamashita
Mr. Children: Hana no Nioi,Toshiaki Hanzaki
Fist of the Blue Sky: Regenesis 2nd Season, Yoshio Kazumi
Bokurano: Reminiscence, Hiroyuki Morita
Cheburashka Arere?, Susumu Kudou
Nani ga Dekiru ka na,Taku Furukawa
Special 7: Special Crime Investigation Unit, Harume Kosaka
Bonjour♪Sweet Love Patisserie, Noriaki Akitaya
Re:Stage! Dream Days♪, Shin Katagai
Super Radical Gag Family, Akitarou Daichi
Yokohama-shi Collaboration CM,Masaki Okuda
Space Shower TV BIG HITS! ID (Yoriko Mizushiri),Yoriko Mizushiri
Triton of the Sea (1979), Kazunori Tanahashi
Heroman, Hitoshi Nanba
The Five Killers, Tomohiro Hirata
Kokoro wa Hallelujah,Hiroshi Nishimura
Shimauma to Lion,Kouji Nanke
THE YELLOW MONKEY: Horizon,Toshiaki Hanzaki
Xenosaga, Tsuyoshi Koga
Zutomayo: Haze Haseru Hateru made,Waboku
Future Police Urashiman, Kouichi Mashimo
Hurricane Polymar, Hisayuki Toriumi
Hurricane Polymar, Tsuneo Ninomiya
Azur Lane, Motoki Tanaka
The Princess and the Moon, Yugo Serikawa
Nurse Witch Komugi, Yoshitomo Yonetani
Digimon Savers 3D: A Close Call for the Digital World, Tetsuji Nakamura
Akane-Iro ni Somaru Saka Hardcore, Keitarou Motonaga
Zendaman, Hiroshi Sasagawa
Genshi Shounen Ryuu, Masayuki Akihi
On the Table,Masanobu Hiraoka
Sazae-san, Hiroshi Yamagishi
FreshWater,Koji Yamamura
Little Astro Boy, Macoto Tezka
Aishen Qiaokeli-ing... Wanjie Jinian, Xiong Ke
Pop in Q, Naoki Miyahara
The Winds of Victory, Tomoharu Katsumata
The [email protected]: Cinderella Girls Theater, Mankyuu
"Umi no Yami, Tsuki no Kage", Satoshi Dezaki
The Qwaser of Stigmata: Portrait of the Empress, Hiraku Kaneko
"Watashitachi, Luck Logic Bu! 2", Takashi Naoya
Bakumatsu: Crisis, Mitsutoshi Satou
Paris no Isabelle, Keiji Hayakawa
Tenka Muteki no Gouyaaman★,Yoko Kinoshita
Bakegyamon, Hiroshi Negishi
Stratos 4 OVA: Stratos 4.1 - Dutch Roll, Takeshi Mori
Penguin Musume Heart, Hitoyuki Matsui
Tokyo Tribe 2, Tatsuo Satou
Idol Defense Force Hummingbird, Yasushi Murayama
Idol Defense Force Hummingbird, Kiyoshi Murayama
Mimizu Monogatari,Keita Kurosaka
tio: Sun,Kakeru Mizui
Food,Siqi Song
Cornelius: Dear Future Person,Groovisions
Yuuji Nakada: Deeper,Kousuke Sugimoto
Aimer: Kimi wo Matsu,Gaku Kinoshita
Ray The Animation, Naohito Takahashi
Gomennasai,Sadao Tsukioka
Naisho no Tsubomi, Akira Shigino
Lensman, Kazunori Hirokawa
Jin: Nihonbashi Koukashita R Keikaku, Takuya Hosogane
Bouro no Uta,Tokio Heidi
Muramasa, Osamu Tezuka
Maze, Iku Suzuki
Maze, Akira Suzuki
Demonbane, Shoichi Masuo
Kazoku no Hanashi, Tekken
Dream Dimension Hunter Fandora, Hiroshi Yoshida
Dream Dimension Hunter Fandora, Shigenori Kageyama
Dream Dimension Hunter Fandora, Kazuyuki Okaseko
Live On Cardliver Kakeru, Hatsuki Tsuji
Mirage of Blaze, Susumu Kudou
80 Days Around the World With Willy Fog, Fumio Kurokawa
Legend of Himiko, Ayumi Tomobuki
Shamanic Princess, Mitsuru Hongo
Shamanic Princess, Hiroyuki Nishimura
No Money, Makoto Sokuza
Hawaiian Rock'n Roll, Tadahiko Horiguchi
Future War Year 198X, Toshio Masuda
Future War Year 198X, Tomoharu Katsumata
Ayakashi, Jun Takada
8 Man, Haruyuki Kawajima
Sasami: Magical Girls Club, Yoshihiro Takamoto
Blend,Mirai Mizue
Portrait,Taku Furukawa
Land,Masanobu Hiraoka
Bavi Stock II: The Revenge of Eyesman - Ai no Kodou no Kanata ni, Akinori Yabe
Upotte!!, Takao Kato
Furimukeba Kaeru,Sadao Tsukioka
Kizuna (Tekken), Tekken
Space Battleship Tiramisu Zwei, Hiroshi Ikehata
Warlords of Sigrdrifa, Hirotaka Tokuda
Pokemon: Pikachu's Summer Festival, Kunihiko Yuyama
iMarine Project: Marine Bloomin' MMD, Wakamurap
JITTERIN'JINN: Koi Nobori,Mitsuyuki Ishibashi
The Tatami Galaxy Specials, Masaaki Yuasa
Close the Last Door!, Tama
Cyborg 009: Kaijuu Sensou, Yugo Serikawa
Chiisana Kinomi (1995),Keizou Kira
Magikano, Seiji Kishi
Candy Candy Movie, Tetsuo Imazawa
Jungle Book, Fumio Kurokawa
INSHOW-HA: Beam!,Kousuke Sugimoto
Happiness!, Hiroshi Hara
Onikiri Musume Saisen, Rabbit Machine
Papuwa, Kenichi Nishida
Rock'n Roll Bath,Ryoji Yamada
Kyou no Asuka Show, Masato Jinbou
Intelligent Jazz: Crystal Sea Ver.69,Mitsuyuki Ishibashi
Oretacha Youkai Ningen G, Yuzuru Adachi
Yuyoyuppe: Who am I?, Wakamurap
Once Upon A Time, Kunihiko Yuyama
Junk Town, Nobutake Itou
Ultra Nyan: Hoshizora Kara Maiorita Fushigi Neko, Hiroko Tokita
Pokemon Mystery Dungeon: Team Go-Getters Out of the Gate!, Kunihiko Yuyama
The Skull Man, Takeshi Mori
Magic Boy, Taiji Yabushita
Arrow Emblem: Grand Prix no Taka, Nobutaka Nishizawa
Arrow Emblem: Grand Prix no Taka, Rintarou
Age of Obscure: Boubaku Jidai,Mirai Mizue
Age of Obscure: Boubaku Jidai, Onohana
"Right Places: Sono Toki, Boku no Irubeki Basho",Mateusz Urbanowicz
Daddy Long Legs (1979), Masakazu Higuchi
Zounds,Hideaki Motoki
Ask Dr. Rin!, Shin Misawa
Cute Executive Officer, Kazuya Iwata
Tales of Crestoria: The Wake of Sin, Toshihisa Yokoshima
Kashikokimono,Takahiro Hayakawa
Kimba the White Lion, Rintarou
Miyakawa-ke no Kuufuku, Yutaka Yamamoto
Angel Tales 2, Norio Kashima
Knight Hunters, Kazutoku Tanahashi
Knight Hunters, Kiyoshi Egami
Phantasy Star Online 2: Episode Oracle, Masaki Tachibana
Maken-ki! Two, Hiraku Kaneko
Nobunaga the Fool, Hidekazu Satou
Pokemon: Pikachu's Ghost Carnival, Kunihiko Yuyama
TAMA of the 3rd District: Have You Seen My TAMA?, Tsuneo Maeda
The Ultraman, Hisayuki Toriumi
The Ultraman, Takeyuki Kanda
91 Days: Brief Candle, Hiro Kaburagi
Kaitou Tenshi Twin Angel: Kyun Kyun Tokimeki Paradise!! OVA, Yoshiaki Iwasaki
Wanpaku Oomukashi Kum Kum, Rintarou
Hachioji-P: Blue Star, Wakamurap
Last Hope, Hidekazu Satou
Sister Princess, Kiyotaka Oohata
Sister Princess, Ikuji Inada
Knight Hunters: Eternity, Hitoyuki Matsui
Patta Potta Monta, Yuusaku Saotome
X-Men, Fuminori Kizaki
Arigatou (2010),Osamu Sakai
TsukiPro the Animation, Juria Matsumura
Wasurerareta Ningyou, Tadanari Okamoto
PRINTER REC Music,Densuke28
Mainichi ga Nichiyoubi, Hidehito Ueda
Mainichi ga Nichiyoubi, Yuusaku Saotome
Rays: Moonflowers, Hideaki Motoki
Casshan: Robot Hunter, Takashi Watanabe
A Centaur's Life, Naoyuki Konno
A Centaur's Life, Fumitoshi Oizaki
Ingress the Animation, Yuuhei Sakuragi
Mt. Head, Koji Yamamura
Alps Stories: My Annette, Kouzou Kusuba
Ikkitousen: Western Wolves, Mitsutoshi Satou
Deca-Dence: Install, Yuzuru Tachikawa
X²: Double X, Rintarou
Hoshi ni Negai wo, Kazuya Ichikawa
OverTheDogs: It's a Small World,Ryo Hirano
Joukyuusei,Kouji Nanke
DD Fist of the North Star, Akitarou Daichi
"""Parade"" de Satie",Koji Yamamura
Cyborg 009 (1966), Yugo Serikawa
Wonder,Mirai Mizue
Danchigai, Hiroshi Kimura
Jewelpet Attack Chance!?, Fumikazu Satou
Ehrgeiz, Toshifumi Kawase
The Boy and the Blue Sea, Masayuki Akehi
11eyes, Masami Shimoda
New Dream Hunter Rem: Setsuriku no Mudenmekyu, Seiji Okuda
Magical Canan, Masashi Abe
Hand Maid Mai,Shigeru Kimiya
Tales of Eternia, Shigeru Ueda
Gasaraki, Ryousuke Takahashi
Beyblade the Movie: Fierce Battle, Takuo Suzuki
Drugstore in Another World: The Slow Life of a Cheat Pharmacist, Masafumi Sato
Shiawase Kyou Ryuu Ondo,Yoko Kinoshita
All Purpose Cultural Cat Girl Nuku Nuku Dash!, Yoshitaka Fujimoto
Teddy,Taku Furukawa
Speed Racer, Hiroshi Sasagawa
She Professed Herself Pupil of the Wise Man, Keitarou Motonaga
Pokemon: Pikachu's Pikaboo, Kunihiko Yuyama
WAVE!! -Let's go surfing!!-, Takaharu Ozaki
Ziggy: Soreyuke! R&R Band, Kazuhiro Mori
Sentaku Jab Jab,Yoji Kuri
Yuki Matsuri,Tadahiko Horiguchi
Gall Force 4: Rhea Gall Force, Katsuhito Akiyama
Knights of Ramune & 40 Fire, Yoshitaka Fujimoto
Goku: Midnight Eye, Yoshiaki Kawajiri
Rokushin Gattai God Mars, Tetsuo Imazawa
Groizer X, Hiroshi Taisenji
Genei Toshi,Tatsuo Shimamura
Nana Toshi Monogatari: Hokkyokukai Sensen, Mamoru Kanbe
Ys, Takashi Watanabe
Ys, Jun Kamiya
WWF 100% Renewable Energy,Amika Kubo
Hero Mask, Hiroyasu Aoki
Ace Attorney, Ayumu Watanabe
Rizelmine, Yasuhiro Matsumura
Little Nemo: Adventures in Slumberland Pilot (1984), Yoshifumi Kondou
Godannar, Yasuchika Nagaoka
Seven Senses of the Re'Union, Yoshihito Nishouji
Reideen, Mitsuru Hongo
Duel Masters Versus, Shinobu Sasaki
Akai Ito,Kazuhiko Okushita
Brynhildr in the Darkness: Much Ado About Nothing, Kenichi Imaizumi
Rain and Fish,Risa Kimpara
Sabu to Ichi Torimono Hikae, Rintarou
Chouja Raideen, Toshifumi Kawase
Alien Nine, Jirou Fujimoto
Aru Apartment no Isshitsu,Tomoyasu Murata
Sakura Wars: New York NY., Ryuichi Kimura
Mormorando,Tomomi Komazaki
Rebirth Special, Shinobu Yoshioka
Girl's High, Yoshitaka Fujimoto
Marvel Future Avengers, Yuuzou Satou
Kaze no Matasaburou (2016), Yuki Yamada
Kaze no Matasaburou (2016), Hiroki Yamada
Yoshiharu Abe: One and Three Four,Masanobu Hiraoka
AWOL: Absent Without Leave, Toshifumi Kawase
APOGEE: Just a Seeker's Song,Sou Ootsuki
Spirit Warrior 2, Rintarou
Drive Boy: Midnight Run,Kakeru Mizui
Yume no Mahou,Kouji Nanke
Pe'z: Papa no March,Mitsuyuki Ishibashi
Deep Awakening,Shizuka Miyazaki
To Heart 2: Dungeon Travelers, Junichi Sakata
Hamburger no Tsukurikata,Hiroshi Nishimura
GREAT3: Higan,Isamu Gakiya
H’or cafe,Masanobu Hiraoka
Colorful Ninja Iromaki,Kentarou Kobayashi
Chiisana Viking Vickie, Hiroshi Saito
Dangerous Jii-san Ja OVA, Takashi Watanabe
Bite Me! Chameleon, Mitsuo Hashimoto
30-sai no Hoken Taiiku, Mankyuu
KUF: Humane,Densuke28
KUF: Humane, Katsuki Nogami
Hades Project Zeorymer, Toshihiro Hirano
Armored Trooper Votoms: Finder, Atsushi Shigeta
Galaxy Angel Rune, Seiji Kishi
Toto: Windy,Takaharu Shimizu
Surprise 4 U.,Junichi Fujisaku
Onaka no Ookina Ouji-sama,Tadanari Okamoto
matryoshka: Niedola,Mitsuyuki Ishibashi
Star Fox Zero: The Battle Begins, Kyouji Asano
Blocker Corps, Masami Anno
Day Break Illusion: il sole penetra le illusioni Special, Keizou Kusakawa
Akuma-kun, Junichi Satou
Doudou,Kazuhiro Hocchi
Moetan Specials, Keiichirou Kawaguchi
Nayami no Tane,Kouji Nanke
Risu ni Koi Shita Shounen,Kouji Nanke
Tsuki no Fuusen,Akira Maeda
Maple Town, Junichi Satou
Maple Town, Hiroshi Shidara
Al Dente Tango,Maho Yoshida
Mayuge no Uta,Taku Furukawa
Tsuiseki,Hiroshi Manabe
Ryuusei Sentai Musumet, Shigeru Kimiya
I'm Just Me, Mareykrap
JR Nishi Nihon: Summer Train!,Yoshiyuki Momose
Kanagawa Dog,Tomoyoshi Joko
ONED,Amika Kubo
Yattodetaman, Hiroshi Sasagawa
Laidbackers, Hiroyuki Hashimoto
Laidbackers, Kiyomitsu Sato
Tekkaman: The Space Knight, Hisayuki Toriumi
Tekkaman: The Space Knight, Hiroshi Sasagawa
Isekai Cheat Magician, Daisuke Chikushi
Transformers: Zone, Hiromichi Matano
Seiren, Tomoki Kobayashi
Candidate for Goddess, Mitsuru Hongo
Universe, Gekidan Inu Curry
Suteki Tantei Labyrinth, Hiroshi Watanabe
Taberu Hitotachi,Saki Muramoto
Fukusuke,Ryouichi Yokoyama
"Nemure Omoi Ko, Sora no Shitone ni", Naoya Kurisu
Gebäude=Bäude, Wataru Arakawa
RIF: Tsuyoku,Satomi Maiya
Monster Strike: The Long-Awaited Utopia, Takayuki Hamana
Futago no Ookami Daibouken,Sadao Tsukioka
Attacker You!, Kazuyuki Okaseko
Elf-ban Kakyuusei, Norio Kashima
livetune: Weekender Girl, Wakamurap
Land of the Lustrous PV, Akiyo Oohashi
Crush Gear Turbo, Shuji Iuchi
Pet, Takahiro Oomori
Reign: The Conqueror Movie, Rintarou
